blknight,case,contrib,coop,cost,dstres,gnpcst,gnprat,inst,length,natsec,imports,exports,policies,relate,result,success,tarcst,us,year,pre_73,trade,blk_m,blk_x,blk_trd,in_coop
0,632,1,1,4,2,1.00,2.00,0.00,3,1,11.00,2.00,1,0,1,1,29.00,0,1963,1,13,0.00,0.00,0.00,0.00
0,633,2,1,1,2,2.00,145.00,0.00,3,1,35.00,14.00,0,0,4,8,110.00,1,1963,1,49,0.00,0.00,0.00,0.00
0,634,3,1,1,1,0.30,206.00,0.00,1,1,38.00,2.00,0,1,4,12,9.00,1,1963,1,40,0.00,0.00,0.00,0.00
0,635,2,3,2,2,0.30,10.00,1.00,11,0,14.00,15.00,0,0,4,8,11.00,0,1963,1,29,0.00,0.00,0.00,3.00
0,641,3,1,2,2,1.50,106.00,0.00,2,0,44.00,51.00,0,1,3,9,12.00,0,1964,1,95,0.00,0.00,0.00,0.00
0,651,4,1,2,2,0.00,98.00,0.00,1,0,31.00,43.00,0,0,3,12,0.50,1,1965,1,74,0.00,0.00,0.00,0.00
0,652,4,1,1,2,0.00,13.00,0.00,2,0,30.00,18.00,0,0,4,16,41.00,1,1965,1,48,0.00,0.00,0.00,0.00
1,653,3,4,3,2,13.00,1388.00,1.00,14,0,72.00,65.00,1,1,4,12,50.00,0,1965,1,137,72.00,65.00,137.00,4.00
0,654,3,2,2,3,0.00,31.00,0.00,25,0,15.00,4.00,0,0,2,6,8.00,1,1965,1,19,0.00,0.00,0.00,0.00
0,671,3,1,3,1,15.20,3.00,0.00,3,1,50.00,50.00,1,1,4,12,220.00,0,1967,1,100,0.00,0.00,0.00,0.00
0,681,1,1,1,2,0.70,186.00,0.00,1,0,8.00,11.00,0,0,1,1,33.00,1,1968,1,19,0.00,0.00,0.00,0.00
0,682,4,1,1,2,0.70,186.00,0.00,6,0,8.00,11.00,0,0,3,12,34.60,1,1968,1,19,0.00,0.00,0.00,0.00
0,701,3,1,1,1,1.50,102.00,0.00,3,1,23.00,10.00,1,0,4,12,163.00,1,1970,1,33,0.00,0.00,0.00,0.00
0,711,1,1,1,2,0.20,61.00,0.00,1,1,24.00,13.50,1,0,2,2,58.50,1,1971,1,37,0.00,0.00,0.00,0.00
